Pre_Phi,Pre_Psi,Post_Phi,Post_Psi
117.512695,6.000061,-127.42727,-141.33904
-9.9266815,-124.7894,-28.900848,-165.82834
-8.374985,-84.76732,-174.5517,-86.77605
2.2019806,-75.848015,-50.687454,-104.17715
112.62894,174.55692,-91.51105,-128.22559
76.69165,-53.71727,-148.76389,159.02936
-25.506424,-152.83319,-169.17401,178.23352
17.497253,-32.174377,74.85535,-5.206604
100.181244,8.553467,-10.093292,-11.950668
3.987091,154.73486,114.31561,-178.04921
-177.87573,12.585297,-156.02545,-179.23402
12.55835,153.30399,-131.70091,132.15991
-155.59213,24.435135,-131.26779,-81.94731
-23.207321,-80.14182,-112.73189,-116.41426
177.41068,-2.610672,177.41425,-2.6103058
-13.042023,-176.08994,-129.19688,102.01254
153.44217,160.23944,-167.71362,143.2367
-169.0701,-113.301994,-42.391815,-56.45395
-0.42027283,167.7511,-131.04793,-131.19612
-32.28073,-32.920456,36.9308,-8.750763
34.9402,-60.530045,136.47266,-43.2097
35.216003,-120.26794,35.216217,-120.270615
94.84265,30.432419,94.864655,30.435883
11.79805,-166.1361,169.68,-169.41046
-4.836334,42.014435,-78.02315,55.52234
-31.843933,123.43399,-156.5299,-176.53865
29.770538,123.193115,158.25848,172.0119
6.0832367,-118.460945,168.86963,58.163925
-152.30081,17.953384,-152.27524,17.954071
-2.8872528,70.77771,-155.66428,-48.91266
-15.229553,-178.98381,176.72202,-165.33546
129.55566,150.11212,168.05542,-119.52991
140.46881,0.009155273,-4.858719,-36.564545
-71.57898,130.20605,-83.949875,-171.92407
-32.371277,-25.570572,-32.376556,-25.569366
-41.010925,-12.498383,-133.72295,-80.837364
36.765167,158.28915,-107.22629,-138.79744
-27.570587,-51.326492,132.56134,126.08084
-26.782501,-143.81139,-150.64316,136.50769
8.151138,141.8164,-52.081787,-115.79442
-18.346985,72.177795,-92.46058,127.69711
-58.728546,-91.87206,-140.53986,-160.36679
171.26562,144.33447,-127.87992,-129.72992
58.05893,-79.19811,85.46124,-20.898376
-152.42102,-5.782776,-152.42679,-5.7847137
-20.473984,60.59738,-136.86848,110.83539
31.535828,-42.271927,31.535065,-42.269547
23.280487,165.36444,-85.47663,-131.5957
20.120422,-133.7172,-113.08874,-105.15015
-158.47131,-53.362953,-147.83801,-176.43353
9.550262,-106.20441,-80.926796,-97.248116
-31.689438,94.127075,-52.924904,14.867325
-21.236526,177.80887,-28.159332,5.1712646
-4.241684,4.920349,-149.96832,178.68378
21.97754,-20.61557,21.975616,-20.614075
-95.016205,135.09027,135.26447,-7.585556
177.19275,-141.14767,-175.60023,167.4234
2.245926,-126.53758,-144.82045,-168.6028
-9.351822,-139.34155,-105.60408,-101.57893
36.073105,-14.063614,67.80478,-30.980484
46.94069,-61.143692,-126.757576,-32.99939
7.8892517,164.69214,-147.17403,-106.634636
25.21782,-38.111023,177.8519,177.67648
88.80286,-171.93774,-140.97766,-138.36444
7.0864563,-68.48686,167.52847,178.482
8.557251,-92.37529,-116.45219,-87.16162
63.259506,-161.45798,-102.79039,-117.833984
-42.832855,-107.65425,-148.95781,-21.780518
6.0457916,-129.50928,-176.65155,-172.60039
2.8194733,138.50275,-145.54277,77.73706
-118.65806,79.50354,-140.17635,-106.1049
40.71309,-31.587677,40.259018,-92.08405
-91.86231,-148.53453,-105.71033,-145.32738
-2.3897705,15.1754,-144.38072,-99.12762
-4.7828827,-120.72009,-45.11476,-79.52839
8.504013,99.89871,63.24347,46.934692
-138.27486,5.7612,-138.268,5.7619324
-44.335052,41.17511,-128.37978,-124.95323
86.41504,-24.547226,86.41763,-24.545792
66.950806,-112.22841,-59.874527,-100.231255
4.58757,-108.54258,150.93555,164.58368
25.900711,-101.362404,-161.18735,150.93811
79.98761,-130.07927,-97.671555,-34.55066
123.90759,-139.56432,-160.57452,-73.79035
-102.25207,133.15256,142.05313,77.84778
37.110596,-35.3972,-129.98378,-116.5848
-106.49798,77.23834,44.18541,-17.924713
-159.49,130.18597,-71.4128,-84.357376
19.53746,-32.814972,-80.917534,-111.64847
2.2086487,170.21307,2.21875,170.21564
15.927017,-83.65368,-28.526657,-9.673691
-137.07608,28.153732,156.50058,-6.6010895
165.60468,-134.77113,-163.98807,173.11945
-111.74934,-81.59387,-134.19226,-81.76923
-149.96536,151.96951,128.12967,55.17987
-57.2838,112.79135,-57.286285,112.78992
65.55197,167.85587,168.64417,-80.89576
-28.232208,-53.986732,-65.53263,-62.67125
94.8049,-48.610382,101.17679,-11.5421295
-72.47302,42.90956,-155.83011,11.496506
-32.662292,30.134583,-169.57939,127.24545
25.009964,115.112335,-125.05196,-127.27481
-18.77266,147.00867,178.75089,-109.29062
-22.981293,-6.1781616,-88.056114,19.901276
17.697357,-38.867294,-7.399124,-43.08136
11.154068,-114.3465,-136.27684,-114.79284
31.14598,129.4964,170.84375,-143.33484
59.43869,65.92804,129.95871,177.53403
105.9187,154.21439,105.914246,154.20923
-25.676346,-156.45448,-97.07482,-131.21788
0.8323059,49.686066,174.32373,-162.50043
166.50311,-79.990616,-127.91346,-136.59517
144.25397,55.796524,144.26843,55.809998
167.92014,160.61182,167.92007,160.61194
-3.5120697,46.908463,-179.66556,174.53674
-20.500732,-82.69796,-112.027245,-124.28361
-52.65016,8.286392,-52.652863,8.292694
115.98248,-128.71986,-135.17412,-63.095398
5.373169,9.492569,133.71722,133.4096
-154.45505,44.973267,63.80719,106.56802
3.0836182,-79.1751,-121.79762,-131.64919
170.53125,-1.3307648,-139.54315,-119.305275
167.44205,-17.87912,177.92957,-3.8426666
-24.800568,33.961304,-139.37112,-90.900085
-88.606384,-98.264,-166.08281,147.54962
-76.38164,-110.238655,168.11804,-102.0742
-113.20402,-30.563416,-113.20632,-30.558243
7.0375214,-7.757065,-57.28267,16.732788
19.881927,-155.38124,-128.04834,-124.07719
-76.58341,-5.585388,-76.58173,-5.582367
-52.688858,34.58789,-89.308105,54.04019
-0.40818787,-123.23945,-0.4082489,-123.24048
-17.325226,91.46878,-139.0237,-138.6391
-23.351166,-145.96794,-140.46301,-155.3437
-19.254501,62.413788,-145.26128,-134.06438
-87.02193,1.2216339,-108.923256,-69.07054
-30.194366,63.982986,-145.5279,159.88123
13.085495,155.29703,-167.20738,-168.04228
-81.26119,-20.881714,-116.89604,-133.2233
-21.524185,161.26251,-21.522827,161.2633
87.11401,-19.964676,-148.33157,-144.60109
12.822159,-0.4116974,144.12292,95.54556
12.7929535,-8.064423,-144.81029,-103.10808
-10.036377,176.97119,-17.688492,-16.3367
120.67377,-45.571304,120.67175,-45.565277
-18.724976,-43.22589,-1.3316956,-1.4317932
115.08264,-143.91982,179.08875,-163.82852
-7.262726,-30.894196,-121.492165,91.36496
6.7332764,-71.12906,-58.620827,-62.608475
-14.046448,149.30643,156.3443,135.19
-115.36726,131.86609,-50.89305,49.89827
22.581696,146.07706,-123.30679,-93.77069
50.44113,-148.63573,-131.3288,-73.522964
-87.86283,-70.81391,-118.76001,-119.05007
-16.860138,68.20261,-99.12301,-112.2617
62.060867,-52.84977,179.91907,-69.55085
47.96086,-37.603424,-111.816444,-145.32645
106.70206,-4.8444214,134.14899,91.97598
15.264069,-70.09948,-125.7277,-125.421005
-3.2166443,-82.30578,-161.48439,159.13846
-14.22554,43.975357,-123.93393,-176.13356
-141.31706,-137.69217,179.02823,167.56738
43.420303,-29.83844,136.55038,168.42938
-86.9389,-147.33377,-130.77983,173.97968
127.2717,73.28577,67.31119,-32.462708
-8.77594,-18.065216,-135.2639,164.44171
2.8322906,37.635773,2.832428,37.63846
-4.812378,82.11301,-4.814743,82.1189
-26.027206,5.5663147,-160.28009,-136.71448
-45.075806,-51.483887,-55.593246,3.4964142
60.164124,76.854614,-4.2871246,-11.007568
-114.76695,-1.5809174,-126.449936,165.26251
93.000916,-45.375916,-70.189735,4.0018005
63.086166,-99.39112,-63.570137,-40.11763
-22.316498,147.71518,-122.47449,158.64365
177.44458,-4.13031,177.44702,-4.130066
-174.57985,-155.30916,-164.56165,-148.46364
70.84299,23.868439,70.8427,23.8676
176.93637,131.90167,-160.10204,150.0774
49.930084,-62.995117,69.346436,-52.863327
101.95859,-134.83553,-127.276665,-142.30013
147.77661,150.90387,-11.1011505,14.723572
-29.78267,20.919525,-71.65789,-7.1306
-6.2924957,-151.98515,-166.21777,-173.41273
-43.108,142.69531,-142.16214,-174.83514
73.87009,-97.15237,-73.477,-89.3019
32.48091,-57.021103,-149.90271,-60.431763
116.8624,-116.20281,-120.84947,-131.1865
-125.153076,-5.300476,-126.34697,-132.59862
20.146835,-0.33787537,20.147522,-0.33338928
-35.146393,16.633484,-161.78462,87.785706
7.71875,156.10907,139.86679,155.51483
149.93353,-65.13702,104.19891,-10.640396
-37.351227,77.894104,-141.48578,-152.99959
-131.89362,169.69058,-161.5547,-120.8579
-166.43794,-100.91027,-166.45575,-100.926506
18.088928,-8.55365,18.095291,-8.556961
141.01672,96.26242,-143.57352,-86.69942
10.756592,-67.08246,-61.10752,-104.8997
13.469421,97.17801,167.259,-82.799675
89.50369,-7.824402,151.65411,-31.047028
43.318146,-148.25507,-142.63799,-149.64238
-24.49939,-128.83826,-145.62625,-143.27275
6.27948,152.01993,171.8429,-117.15971
-22.799118,-5.223587,-78.738174,-22.279419
-15.558304,-111.35545,-84.866974,-146.93849
-4.362503,-81.139015,-99.16899,-113.828285
163.23248,164.06647,-142.0907,-132.76796
-26.720657,-24.910278,-138.28206,-129.98486
-18.617432,-54.507195,158.86908,150.64334
152.23764,33.298065,152.23785,33.29956
-17.499725,-121.41695,-145.90144,140.7685
24.758087,150.90805,-131.71654,-126.70365
26.681839,-56.82103,-83.747154,-78.37647
111.806335,63.134277,-65.79971,-11.540054
6.836212,-174.63235,36.15599,151.32544
-177.78242,2.1739807,-177.78064,2.1759338
135.03162,-27.751694,78.15158,-24.879562
-35.883377,-65.79167,-115.36354,6.748169
-3.5823364,46.70581,-157.1309,-114.21573
-11.913132,35.09265,-120.93371,-80.24581
-20.9048,165.01883,-85.849625,87.63016
86.29968,-15.586975,-142.70886,-101.570526
-10.097443,173.35675,76.76495,-33.19368
50.540848,-39.1911,92.08185,-71.36282
-22.96341,52.918564,-104.67237,-163.3561
54.98372,-128.71544,-92.35326,-19.183792
-6.5792084,-89.91564,-6.5793457,-89.91301
36.27559,-50.47287,-162.65015,-166.59708
-10.50708,176.62701,170.68439,176.00531
20.907608,115.56903,-10.995529,131.74847
-146.4262,15.71019,-64.91487,11.440445
31.54013,17.925827,-8.62648,-4.4528503
78.87787,125.098755,-36.231506,28.506561
-31.948837,151.22818,-148.58868,168.39789
16.960785,133.22937,35.035736,-41.127197
24.473343,-100.80095,175.12659,-87.88814
-122.645546,-142.77696,-131.18846,-129.48463
138.19022,-32.489426,-66.1923,-10.631409
-161.73001,135.64368,-144.58188,-146.05144
165.60974,126.47818,-123.183815,-122.36389
108.42218,-36.737015,146.80603,-171.7447
-162.58981,-113.19534,-166.14702,157.4985
-18.146927,-155.86008,-10.5833435,-64.72172
-15.266022,-133.16805,-109.9613,156.40137
87.84689,-141.22023,24.193878,93.220245
126.723114,2.830017,-63.36988,17.896393
-4.1116943,-46.98671,33.016724,-171.03928
143.1774,42.995117,-47.76085,-43.91951
-164.18459,-171.73778,-64.91657,148.26001
18.206558,124.23651,91.693146,112.78424
-10.095734,78.66818,146.33206,-23.19867
-165.27641,-121.44091,-71.52732,3.5021515
-178.93208,62.981598,-98.64604,-154.38167
-4.5319214,10.529373,64.55907,-60.189697
79.60571,168.04626,115.41571,110.21735
-101.58564,-178.29715,167.90631,-41.03116
-13.348267,86.960205,-113.66211,-154.78172
-138.66145,-57.18312,-110.82416,-83.73577
15.567825,38.226654,-72.753136,6.5150757
-88.991486,-78.78827,-111.20538,-141.12132
73.63539,-29.058182,73.63553,-29.060959
132.67133,-120.82487,-150.90794,175.04144
4.6705627,160.445,-113.06597,-124.295425
25.53888,-178.76736,158.72101,-171.7176
6.1578217,-1.8406982,6.157089,-1.8433228
-10.451752,-153.1846,-84.0621,-143.97179
12.055756,-24.651825,97.53006,-7.675537
67.709076,-30.671356,-163.24756,-163.26994
-174.17563,-15.140869,68.401276,-44.48828
65.74402,-35.431793,-156.85286,-67.88272
105.09622,133.59482,90.946014,115.7641
33.030457,175.93924,-148.35365,-170.75322
-176.89644,46.85846,-114.81968,-104.32384
-109.13269,2.763382,-109.12728,2.7679596
179.25464,146.30017,-109.44236,-131.48184
-23.722992,-6.3440094,120.65497,110.51346
30.318665,-59.008194,5.2693024,-16.722015
-13.464981,-78.24375,-119.67561,-143.99886
59.18039,1.4687805,97.05673,-36.376083
177.08237,-55.858856,-110.85158,-100.10943
4.2219086,-158.73834,-120.043915,31.77649
-21.469421,39.570526,-74.08222,7.593933
147.1596,-42.66806,147.17633,-42.66719
101.7583,-12.841751,101.75714,-12.843628
-14.810623,-105.38519,-110.06872,-120.07187
-96.967155,-65.606384,-82.678734,-165.85277
138.72833,-7.8088074,-129.11942,-137.93192
4.620117,-154.97968,-40.267,-43.733078
-76.20921,-117.56623,-96.739624,-143.19731
56.81581,19.983109,56.8049,19.98491
84.46829,-50.60504,-152.3246,-83.83745
5.9446564,-62.151794,102.173645,-176.59233
24.139359,-92.39958,-134.00801,174.73456
-18.492966,152.79883,-160.56097,-122.320885
-0.57865906,120.570496,-107.827545,-144.00359
-2.7178802,-140.16957,-124.82088,167.55273
-69.05179,123.11157,-69.05273,123.11459
11.171631,-110.789856,-102.76699,-114.88147
20.712326,3.6568298,38.0309,-23.211212
-5.9595795,-130.68196,-140.00964,-112.82376
-105.98116,-172.31181,166.88538,-177.61623
-1.0866547,-14.2099,-172.66367,-86.45556
-14.536819,65.67343,167.90579,-58.629066
19.380707,-122.72779,-106.87757,-131.2452
68.976456,-108.86607,68.97717,-108.86296
-41.140747,33.487732,-123.79537,144.82617
-54.96463,98.12439,125.38507,-4.444763
23.429443,-75.655426,-39.63623,-11.865585
-50.46872,132.81851,-50.471024,132.82047
-11.543259,57.940277,-76.99273,-155.37332
-80.56135,-31.099152,177.10632,-163.73688
-128.21513,100.06665,-121.88153,-165.61641
112.24933,-20.144135,-84.80426,0.43032837
93.84296,156.63828,-169.57024,-178.86671
11.658264,96.586914,-62.582382,1.9453125
-14.798965,170.4524,-118.641525,-130.22127
-166.95795,-5.9456177,-88.36884,-141.60333
27.71846,-21.052567,-176.77946,-118.7217
-161.78987,25.318237,-134.58797,-105.84225
-113.65328,107.163086,156.00763,159.01309
-16.081467,-176.91434,-136.49898,133.65167
-7.1964264,127.53226,-61.950516,-120.20131
-163.3363,124.51437,-127.59387,-128.70804
24.905304,-172.90385,178.80035,-98.54684
-118.510414,160.48697,-158.41478,-158.90973
-105.427666,39.525497,-105.42764,39.5253
16.985825,-177.30486,-165.95308,-152.33478
69.283035,-4.7871246,-154.7861,-81.2393
-43.95227,-65.023415,-128.56862,-105.11265
33.197357,-98.42316,-161.43044,-166.22185
24.047379,95.01993,52.686493,-29.943665
-64.10032,47.052216,-49.224808,6.986603
-56.38794,38.726425,-142.793,-108.48113
-151.02283,-104.025856,176.33258,-64.83493
81.8551,-99.74019,-135.66428,-88.819916
105.40936,142.30286,158.87628,179.95898
92.025665,-170.00652,92.026306,-170.00507
-49.356888,60.531784,-67.04747,160.74347
34.120697,22.106659,-167.74686,-56.358414
-40.09436,169.93341,-148.7584,154.84253
-2.2694855,-13.400192,-96.93898,-69.94218
31.902405,43.583527,154.418,157.02551
28.44461,-69.43724,-63.28553,-139.31137
13.142471,-41.677185,-158.85934,-126.8336
42.694275,-49.504166,-3.885437,-2.5148926
-0.6965027,101.205444,141.87506,-164.76936
-84.420265,42.118103,-84.41865,42.119583
2.7947388,-25.569855,8.728729,78.44174
176.60477,-76.92681,176.60379,-76.92854
39.30612,74.73378,-14.027618,44.392624
-46.15045,-83.968025,-72.31798,-3.7864532
22.778595,-89.22672,-107.79317,-86.929436
16.651169,145.09454,-117.16711,-140.374
172.53937,117.38086,-115.43797,-133.27065
122.01468,-97.90837,122.01532,-97.90755
-3.207489,-29.004349,63.46631,-42.3506
5.1375732,-151.07259,-154.20265,-122.76112
15.583282,-71.21006,-133.98633,-141.81718
-162.18669,-22.822144,-162.19228,-22.825455
-45.700592,93.331024,-145.70052,-100.343506
164.37802,-141.1106,-169.06015,-169.46579
19.507904,104.007324,-6.1019897,-1.6448212
-58.19136,104.31467,122.52472,-8.107407
-146.53392,-174.8041,-125.70138,-106.410675
-59.102295,-10.257111,-59.09748,-10.261185
-17.693909,138.14825,-153.92964,-38.07846
13.646286,-133.77332,167.2821,162.38245
-0.7209778,179.27856,-125.73917,-133.52982
-158.69025,-167.44722,-179.10709,-95.153625
-13.844391,91.18158,-55.15011,49.627625
-6.080719,-157.2775,-127.61916,-105.75549
25.94542,-72.6279,-60.281174,-72.701385
-35.46414,-49.135803,-50.804672,-35.40515
-153.3982,-99.623276,-153.00648,-178.34297
-15.29924,-74.21617,-78.34415,-145.92955
-117.23078,-134.15993,-142.76778,-109.70681
-3.025589,112.4559,144.3291,20.02066
-89.541504,-45.835876,-171.23935,-147.42563
-28.051773,-144.83766,-92.75532,-145.64368
47.327347,-139.14168,-43.503662,-20.935928
30.267487,-91.38841,-179.11304,-95.73689
5.9425354,-99.289764,-24.909653,-11.551041
-51.64969,-132.35008,-49.33185,134.10373
-15.361679,-120.69627,-117.36433,-141.55318
-111.04491,27.052368,-111.043594,27.055725
43.80815,-28.250366,-177.49957,-143.49876
-96.45024,-147.87961,135.2265,54.710617
-19.567535,-127.497475,-142.23387,-105.800735
-115.42574,-127.6602,-70.320175,-162.65268
106.57541,135.45801,166.48907,-176.68504
55.039536,36.73459,-142.87396,-113.60082
2.556717,45.83206,2.5554352,45.82837
-63.61003,138.88617,-170.00925,159.85538
-161.38765,166.15424,-117.24926,-138.64255
144.10309,-22.182144,-115.07718,6.8897552
-46.34552,15.283295,-108.49756,-45.468964
-173.10295,49.527786,-173.08748,49.527954
29.583664,-130.97002,-129.47441,144.0474
171.46979,2.0426178,-163.95049,-161.41835
-14.140152,-56.340492,-120.39044,169.88574
-38.6492,-12.303726,-80.2205,-5.40625
-5.985977,-149.53128,-25.715408,-145.71304
-54.255592,120.88373,-54.259766,120.87863
7.5677032,-115.96115,-130.66235,-106.47346
-118.659004,23.131622,-118.66012,23.131653
-76.91744,17.73944,-76.99162,17.744308
9.999893,-129.07274,-163.63692,172.51083
-10.567352,146.57004,-119.07574,-148.22879
-141.04044,-5.3593445,-124.19134,-115.41119
-110.42022,-30.692123,-148.45387,-125.938896
46.48297,-19.271515,46.483917,-19.270828
-58.020447,-177.04424,-101.34776,-147.80019
-91.770805,-93.43716,-122.30011,-113.06494
157.82742,-2.3846893,157.82764,-2.383667
39.50119,-178.06741,39.51245,-178.05154
36.20987,-163.30116,-119.518776,-122.127846
-33.44461,-147.54257,-137.73293,163.90326
-55.97325,-176.09178,-170.56685,168.49457
46.610046,96.3775,29.614319,17.13829
-57.59636,-107.42839,165.16553,-92.33998
43.49518,-26.473831,-165.54884,1.4216614
-12.088882,112.57028,-49.47232,32.76169
124.07938,12.266861,-81.622345,174.39438
-0.44610596,36.135345,-140.47536,-126.8674
174.22235,-64.52619,72.83664,-12.873093
-20.365295,25.847626,-20.363617,25.847748
0.25952148,-15.005066,-158.55453,-67.08837
4.757614,-141.54202,-140.43915,-80.41555
121.22244,155.74481,-105.25142,-93.42679
-14.692032,146.30081,-48.56888,40.38037
-40.532562,41.180893,-160.89676,-86.16412
-82.26639,-100.97656,-72.75148,-17.842804
14.361343,156.57544,-85.952484,-103.19784
6.5493164,-156.431,-81.72993,-154.46692
-12.0252075,-172.48445,-112.31291,-164.29941
23.696686,-0.74772644,-1.0192108,-11.0802
40.96132,123.21362,177.40753,-177.56699
-150.452,61.36679,-109.99781,-158.29605
34.148346,179.69788,-127.52599,-120.47306
10.059113,75.660904,-93.80544,-133.84178
11.118988,-133.93204,142.31458,-28.885529
155.69058,-8.091827,155.68689,-8.089249
115.807556,141.39114,169.202,-159.21191
6.8721924,-52.127502,-158.27628,-74.5005
-6.8204346,-135.24379,-139.16779,-179.22673
-13.610382,158.17853,-8.510742,178.50317
31.815765,-23.657516,51.03186,-73.3731
-1.3717957,80.77734,50.336884,-40.235077
-179.21922,111.778564,-170.66342,178.4964
49.612137,-41.269775,166.41083,-44.07721
-14.866211,75.83688,-122.05656,-142.7177
-153.78262,-129.74814,-136.12436,-90.14034
163.61371,-89.558975,-111.17345,-98.64684
149.25989,-0.6235657,-131.4923,-103.33362
175.13617,-62.05346,175.1365,-62.053192
13.835037,-56.837982,-61.20479,-95.72679
-21.864883,82.36676,-151.0829,125.70935
-70.68701,-175.1273,-129.65369,-60.287155
-54.815277,82.069824,-132.46623,-117.39161
-43.8481,-165.45528,-124.984566,-122.0
137.26611,-37.231842,-72.7854,-161.6556
17.456757,-141.90259,-9.91153,-34.04654
-111.021324,-165.23138,-108.52708,-90.20872
-106.33597,-62.885887,-62.450806,-130.33733
10.937256,-16.057251,141.96625,150.10663
166.58987,21.87207,75.981415,6.5925293
125.62076,131.26447,122.79764,87.7486
-170.84482,40.190796,-134.52544,-130.42706
170.45657,105.55817,-177.64365,169.37561
119.57968,58.94687,129.22308,168.27527
-22.9702,21.364685,-46.33931,-3.1166382
161.46149,-102.35643,161.46301,-102.35478
-32.065125,96.93417,-111.081055,173.09174
-89.090065,166.54523,-148.30957,-134.89581
28.543396,167.9686,-115.56185,-117.601204
-114.62336,13.007675,-114.619194,13.006409
-58.818527,-1.3235168,-58.818054,-1.3272705
-10.777161,-133.28508,161.34937,-173.48785
75.74539,107.89172,93.81671,100.300934
-0.22741699,-147.07552,-98.98424,-146.39465
26.313324,-117.46737,-37.53473,156.03113
-167.69568,-151.89917,-128.45631,-132.95897
-19.492615,18.895096,52.687653,57.7592
49.74736,141.04462,-108.55708,-146.07022
19.279022,-27.239258,-173.85574,-97.21558
-54.465347,-6.1172333,-54.46997,-6.1226044
43.263596,14.628235,43.256134,14.633865
106.98248,-138.8686,-93.09315,-73.782684
-14.362869,101.73065,141.31128,72.386475
12.030441,-105.31049,159.37793,-48.1409
171.53296,-121.00156,171.53424,-121.00519
-22.167328,-97.0705,-163.79218,-133.2403
-4.8947144,153.8529,-146.65366,-130.44907
-9.508911,20.210098,-9.495026,20.208344
108.65375,-87.38953,108.64987,-87.38355
-74.84855,119.84442,-46.80963,118.16449
-102.84411,66.91785,-102.84369,66.918015
-17.810715,114.76227,91.87894,-16.73256
38.753983,-109.59861,-125.92898,-2.557785
-19.028122,-122.06952,-136.3308,-144.59213
110.96097,-35.703964,-72.78276,4.0534973
-10.563538,-162.87602,-70.276344,0.84802246
4.7026215,117.19849,169.13354,-113.610825
-23.540695,-138.65793,-179.94917,-170.44458
-9.477905,-49.76068,131.1737,173.22235
79.22647,115.79831,156.76239,-58.92624
0.3459015,-128.90854,-122.76773,-79.356735
-126.49366,133.87897,-122.599144,-139.92697
24.678436,35.91855,-63.09355,3.9395752
-1.331665,-17.852554,-80.51546,151.5437
-12.722427,-12.4105835,-101.63003,69.95537
-108.52611,99.03305,-108.524796,99.03595
-141.24348,176.15594,158.21179,-60.47223
-19.402008,-27.268417,-19.401718,-27.269348
-1.9916382,39.25267,-128.12675,-133.1574
7.730957,-68.16357,-52.565567,-69.31201
-109.54954,75.67256,-63.170486,23.511139
16.314972,-83.00922,-166.6392,160.80368
59.131577,155.90512,-175.03868,-144.67445
-19.275742,122.95752,-82.672646,103.377594
1.6568451,-105.50799,-162.79442,134.14859
-50.03833,-168.2796,-136.1197,151.32349
-114.2548,21.698761,-122.338554,-70.89918
-16.397034,101.34125,154.17767,-127.02814
0.22241211,42.12744,0.22259521,42.1279
15.145325,-91.63358,15.14888,-91.63036
-20.84172,-171.1386,-108.166695,-168.89622
60.100952,-42.84735,-163.2816,-163.42674
-148.52527,152.67667,-148.51837,152.67413
115.74115,-152.54431,115.74231,-152.5435
-51.0838,14.424301,-168.88208,-102.14012
-153.47672,-99.6861,166.07568,-109.250374
5.57193,156.85736,-107.110214,77.75513
26.779205,-85.1884,-136.44766,-98.27646
-21.862198,-31.845535,88.69568,-136.46518
103.3844,-41.31871,175.88019,-50.2538
-22.808594,-19.822021,-115.343735,-123.660736
-167.29208,-146.78473,-167.29192,-146.78395
9.941132,-61.275078,-76.35461,-118.614494
157.94226,-141.70363,157.93042,-141.70602
142.71692,161.31866,142.71744,161.31781
-10.134323,-75.88899,-122.68856,124.97543
14.392227,27.491318,-131.77788,-97.19489
-7.753891,-142.22368,-114.81235,-105.39129
4.275879,-99.05111,-144.81679,-152.74135
-4.419098,22.299835,-109.9384,-125.188705
-8.139252,-131.29776,-125.97514,-98.02726
142.44534,-27.584839,-81.34157,-84.03302
-61.600098,82.04837,-154.53625,166.8536
-99.45496,65.31444,-99.458626,65.31082
10.125122,-141.35411,160.27036,-177.6726
128.04242,163.29007,-75.29745,2.8594055
25.069824,116.40689,25.04477,116.40576
1.8930359,31.407578,-129.25394,-96.93923
26.301407,-165.47275,-163.19955,-66.4265
-8.639389,-106.89478,-94.811325,-121.42651
-157.64536,2.1549072,-157.64888,2.1528015
13.877899,-24.98703,-137.9895,-111.20629
-2.4597168,-10.661575,-2.4603271,-10.658722
-15.482559,145.46698,-15.48111,145.46582
71.69751,-19.499847,71.69354,-19.504349
-27.013885,-82.12568,-107.736305,-5.3411255
-3.1933289,-115.972496,-144.83434,170.64532
23.26184,-44.465546,112.75464,-13.879211
-26.237427,-10.171783,-26.23877,-10.17337
